Country,Year,Share
France,1956,0.147886572
France,1957,0.145602226
France,1958,0.128368521
France,1959,0.17172514
France,1960,0.136496239
France,1961,0.138238936
France,1962,0.12337347
France,1963,0.159552927
France,1964,0.174833679
France,1965,0.168825111
France,1966,0.187617474
France,1967,0.202788525
France,1968,0.213541222
France,1969,0.222456474
France,1970,0.229968166
France,1971,0.236383591
France,1972,0.241926403
France,1973,0.262087555
France,1974,0.308652363
France,1975,0.306270027
France,1976,0.318932629
France,1977,0.27908165
France,1978,0.275002041
France,1979,0.331425247
France,1980,0.308389912
France,1981,0.327936935
France,1982,0.321751671
France,1983,0.276688061
France,1984,0.297024918
France,1985,0.297944298
France,1986,0.33408802
France,1987,0.370040703
France,1988,0.390471802
France,1989,0.394773064
France,1990,0.443250694
France,1991,0.464900589
France,1992,0.474629555
France,1993,0.486775093
France,1994,0.469259911
France,1995,0.507660217
France,1996,0.518449287
France,1997,0.591482086
France,1998,0.649027176
France,1999,0.707550201
France,2000,0.740300217
France,2001,0.809579468
France,2002,0.808209229
France,2003,0.830953064
France,2004,0.84909462
France,2005,0.863458481
France,2006,0.878012238
France,2007,0.875222778
France,2008,0.896012955
France,2009,0.888815765
France,2010,0.89654213
France,2011,0.881333542
France,2012,0.891841965
France,2013,0.880210495
France,2014,0.886491623
France,2015,0.884671173
France,2016,0.889001312
France,2017,0.880997696
France,2018,0.8859729
France,2019,0.881270294
France,2020,0.876387405
France,2021,0.887429657
France,2022,0.896093979
France,2023,0.871377258
Spain,1956,0.476050568
Spain,1957,0.418907585
Spain,1958,0.439095535
Spain,1959,0.451903153
Spain,1960,0.390095139
Spain,1961,0.372966499
Spain,1962,0.396590042
Spain,1963,0.430454788
Spain,1964,0.426308746
Spain,1965,0.490570526
Spain,1966,0.449727402
Spain,1967,0.4458284
Spain,1968,0.43760437
Spain,1969,0.430785713
Spain,1970,0.425040474
Spain,1971,0.420133743
Spain,1972,0.415894432
Spain,1973,0.399448586
Spain,1974,0.350947266
Spain,1975,0.349342842
Spain,1976,0.313900013
Spain,1977,0.366842842
Spain,1978,0.311087456
Spain,1979,0.29830389
Spain,1980,0.280531063
Spain,1981,0.269620228
Spain,1982,0.279857693
Spain,1983,0.276327133
Spain,1984,0.22839428
Spain,1985,0.216184406
Spain,1986,0.223118782
Spain,1987,0.195144043
Spain,1988,0.169092941
Spain,1989,0.155342493
Spain,1990,0.149088507
Spain,1991,0.146441107
Spain,1992,0.126132755
Spain,1993,0.09229866
Spain,1994,0.0924792
Spain,1995,0.087032261
Spain,1996,0.078924766
Spain,1997,0.068274593
Spain,1998,0.056202006
Spain,1999,0.042435637
Spain,2000,0.034485991
Spain,2001,0.027674205
Spain,2002,0.02845165
Spain,2003,0.025859923
Spain,2004,0.02246022
Spain,2005,0.021048167
Spain,2006,0.020480061
Spain,2007,0.017201616
Spain,2008,0.015389284
Spain,2009,0.015004054
Spain,2010,0.011931907
Spain,2011,0.015875485
Spain,2012,0.014307122
Spain,2013,0.014221032
Spain,2014,0.013387114
Spain,2015,0.014605767
Spain,2016,0.014789205
Spain,2017,0.016295116
Spain,2018,0.014969947
Spain,2019,0.014006966
Spain,2020,0.013790181
Spain,2021,0.015806361
Spain,2022,0.015519649
Spain,2023,0.017930217
Germany,1956,0.019943533
Germany,1957,0.018726411
Germany,1958,0.020856378
Germany,1959,0.011830703
Germany,1960,0.013327984
Germany,1961,0.009384496
Germany,1962,0.013051872
Germany,1963,0.007126916
Germany,1964,0.011269944
Germany,1965,0.009200827
Germany,1966,0.011429839
Germany,1967,0.014427966
Germany,1968,0.016737466
Germany,1969,0.018652314
Germany,1970,0.020265703
