Region,Year,Yield,Production,Area
Adelaide Hills,2001,13.4,18921,1396
Adelaide Hills,2002,5.9,11058,1860
Adelaide Hills,2003,6.6,16482,2373
Adelaide Hills,2004,14.2,38646,2661
Adelaide Hills,2005,9.2,27238,2907
Adelaide Hills,2006,7.6,24786,3278
Adelaide Hills,2007,7.5,25793,3433
Adelaide Hills,2008,9.7,34618,3547
Adelaide Hills,2009,6.8,24904,3619
Adelaide Hills,2010,7.6,28161,3681
Adelaide Hills,2011,5.8,21872,3744
Adelaide Hills,2012,4.5,17279,3816
Adelaide Hills,2013,7.4,28559,3821
Adelaide Hills,2014,4.7,17875,3798
Adelaide Hills,2015,6.1,22943,3777
Adelaide Hills,2016,7.5,27670,3746
Adelaide Hills,2017,7.2,27335,3781
Adelaide Hills,2018,7.3,27316,3747
Adelaide Hills,2019,4.3,16002,3674
Adelaide Hills,2020,3.3,12048,3622
Adelaide Hills,2021,8.3,29991,3613
Adelaide Hills,2022,5.7,20327,3607
Adelaide Hills,2023,5.1,18125,3587
Adelaide Plains,2001,0,0,0
Adelaide Plains,2002,17.3,6759,380
Adelaide Plains,2003,15.4,5512,359
Adelaide Plains,2004,15.4,7004,455
Adelaide Plains,2005,15,7686,519
Adelaide Plains,2006,9.6,4881,519
Adelaide Plains,2007,8.8,4965,552
Adelaide Plains,2008,8.6,6492,748
Adelaide Plains,2009,5,3720,713
Adelaide Plains,2010,6.9,4780,693
Adelaide Plains,2011,8,5203,651
Adelaide Plains,2012,6.9,4459,661
Adelaide Plains,2013,6,3871,657
Adelaide Plains,2014,7,4359,645
Adelaide Plains,2015,6.9,3092,516
Adelaide Plains,2016,9.4,4396,513
Adelaide Plains,2017,8.4,3497,473
Adelaide Plains,2018,6.7,2911,468
Adelaide Plains,2019,6.1,2964,481
Adelaide Plains,2020,5.2,2125,443
Adelaide Plains,2021,8.2,2905,386
Adelaide Plains,2022,5,1902,374
Adelaide Plains,2023,4.9,1519,351
Alpine Valleys,2001,10.4,8395,802
Alpine Valleys,2002,8.1,8752,1076
Alpine Valleys,2003,8.6,7997,925
Alpine Valleys,2004,12.3,11608,937
Alpine Valleys,2005,9.8,8799,891
Alpine Valleys,2006,8.5,7339,858
Alpine Valleys,2007,3.5,2807,794
Alpine Valleys,2008,10.6,8929,849
Alpine Valleys,2009,3.8,1946,768
Alpine Valleys,2010,6,4221,704
Alpine Valleys,2011,1.6,564,537
Alpine Valleys,2012,6.7,2647,392
Alpine Valleys,2013,3.9,1012,328
Alpine Valleys,2014,6.6,1318,282
Alpine Valleys,2015,7.7,2068,257
Alpine Valleys,2016,8.1,2028,261
Alpine Valleys,2017,10.1,2613,265
Alpine Valleys,2018,8,2087,268
Alpine Valleys,2019,10,2665,272
Alpine Valleys,2020,4.7,504,272
Alpine Valleys,2021,10.2,2721,272
Alpine Valleys,2022,10.8,2900,272
Alpine Valleys,2023,9.5,2473,272
Barossa Valley,2001,8.5,53836,6257
Barossa Valley,2002,8.7,57631,6544
Barossa Valley,2003,7,48830,6903
Barossa Valley,2004,9.3,70571,7447
Barossa Valley,2005,10,84906,8406
Barossa Valley,2006,8.5,79648,9340
Barossa Valley,2007,4,39730,9755
Barossa Valley,2008,6.5,66815,10161
Barossa Valley,2009,4.9,51602,10540
Barossa Valley,2010,5.7,60796,10508
Barossa Valley,2011,5.9,63366,10606
Barossa Valley,2012,4.7,51896,10948
Barossa Valley,2013,3.9,43827,10969
Barossa Valley,2014,4,44337,10914
Barossa Valley,2015,4.1,44706,10750
Barossa Valley,2016,5,54371,10795
Barossa Valley,2017,7.4,81449,10852
Barossa Valley,2018,5.1,56969,11071
Barossa Valley,2019,3.6,40984,11173
Barossa Valley,2020,2.5,29071,11323
Barossa Valley,2021,5.4,61409,11419
