State,Year,Yield
South Australia,2001,14.36906719
South Australia,2002,13.9806881
South Australia,2003,11.51114178
South Australia,2004,15.36726379
South Australia,2005,13.92013264
South Australia,2006,13.28776836
South Australia,2007,8.074761391
South Australia,2008,11.04682732
South Australia,2009,9.764914513
South Australia,2010,9.19737339
South Australia,2011,9.208931923
South Australia,2012,9.296325684
South Australia,2013,9.376682281
South Australia,2014,9.536189079
South Australia,2015,9.738394737
South Australia,2016,11.23683643
South Australia,2017,11.88889217
South Australia,2018,10.09797001
South Australia,2019,10.54053974
South Australia,2020,8.906171799
South Australia,2021,12.86633015
South Australia,2022,11.27083206
South Australia,2023,9.275586128
New South Wales,2001,10.4823246
New South Wales,2002,12.23550415
New South Wales,2003,10.60965157
New South Wales,2004,12.51776409
New South Wales,2005,13.29994011
New South Wales,2006,12.94376183
New South Wales,2007,9.939570427
New South Wales,2008,12.82821655
New South Wales,2009,13.9550333
New South Wales,2010,10.84694099
New South Wales,2011,12.1525631
New South Wales,2012,12.05209732
New South Wales,2013,15.20789146
New South Wales,2014,14.06184292
New South Wales,2015,14.5990572
New South Wales,2016,13.85903168
New South Wales,2017,15.32093716
New South Wales,2018,14.26282597
New South Wales,2019,14.55319977
New South Wales,2020,13.41583443
New South Wales,2021,15.33550549
New South Wales,2022,13.31909275
New South Wales,2023,9.327988625
Victoria,2001,10.1597662
Victoria,2002,9.665846825
Victoria,2003,8.201244354
Victoria,2004,11.02254295
Victoria,2005,11.21437073
Victoria,2006,9.699681282
Victoria,2007,8.402899742
Victoria,2008,10.93587685
Victoria,2009,10.43266773
Victoria,2010,10.99912834
Victoria,2011,10.59518147
Victoria,2012,11.26327705
Victoria,2013,15.54049778
Victoria,2014,15.59023285
Victoria,2015,13.34185028
Victoria,2016,12.50242519
Victoria,2017,12.65899754
Victoria,2018,11.89651966
Victoria,2019,11.37177277
Victoria,2020,10.99193668
Victoria,2021,13.63903618
Victoria,2022,12.19039249
Victoria,2023,7.156585693
Western Australia,2001,6.65874958
Western Australia,2002,6.245224476
Western Australia,2003,5.869315147
Western Australia,2004,7.910615444
Western Australia,2005,6.806420803
Western Australia,2006,5.372027397
Western Australia,2007,5.598992825
Western Australia,2008,6.45709753
Western Australia,2009,3.536030293
Western Australia,2010,5.872998714
Western Australia,2011,2.706792116
Western Australia,2012,6.606735706
Western Australia,2013,2.967340231
Western Australia,2014,4.454237461
Western Australia,2015,5.246545792
Western Australia,2016,3.830837727
Western Australia,2017,3.659237146
Western Australia,2018,3.278350115
Western Australia,2019,2.991311789
Western Australia,2020,3.108798027
Western Australia,2021,3.744333029
Western Australia,2022,3.860627651
Western Australia,2023,3.880439281
Tasmania,2001,7.317493439
Tasmania,2002,3.460739136
Tasmania,2003,6.538831711
Tasmania,2004,7.499693394
Tasmania,2005,6.253974438
Tasmania,2006,5.576834679
Tasmania,2007,4.229473114
Tasmania,2008,8.785404205
Tasmania,2009,5.151698589
Tasmania,2010,5.905835152
Tasmania,2011,6.084235668
Tasmania,2012,4.389359474
Tasmania,2013,8.425065041
Tasmania,2014,4.064912319
Tasmania,2015,5.658082485
Tasmania,2016,5.736303329
Tasmania,2017,5.603712082
Tasmania,2018,6.952539921
Tasmania,2019,6.277335644
Tasmania,2020,4.687090874
Tasmania,2021,5.324362755
Tasmania,2022,5.405654907
Tasmania,2023,5.270671368
Queensland,2001,3.83376503
Queensland,2002,6.741549015
Queensland,2003,5.048299789
Queensland,2004,7.365224361
Queensland,2005,8.899004936
Queensland,2006,6.002729893
Queensland,2007,2.328478098
Queensland,2008,3.328920841
Queensland,2009,3.827028275
Queensland,2010,1.928419352
Queensland,2011,1.796085715
Queensland,2012,1.655638218
Queensland,2013,1.761633158
Queensland,2014,1.852510929
Queensland,2015,1.921674371
Queensland,2016,1.580448747
Queensland,2017,1.299892783
Queensland,2018,1.12173903
Queensland,2019,1.381331086
Queensland,2020,0.300493658
Queensland,2021,0.541744828
Queensland,2022,0.623357415
Queensland,2023,0.780496299
Northern Territory,2001,0
Northern Territory,2002,0
Northern Territory,2003,0
Northern Territory,2004,0
Northern Territory,2005,0
Northern Territory,2006,0
Northern Territory,2007,0
Northern Territory,2008,0
Northern Territory,2009,0
Northern Territory,2010,0
Northern Territory,2011,0
Northern Territory,2012,0
Northern Territory,2013,0
Northern Territory,2014,0
Northern Territory,2015,0
Northern Territory,2016,0
Northern Territory,2017,0
Northern Territory,2018,0
Northern Territory,2019,0
Northern Territory,2020,0
Northern Territory,2021,0
Northern Territory,2022,0
Northern Territory,2023,0
